mapping, replan, sfc, mpc, df, 
0, 0.000121, 0.001545, 0.282841, 0.202633, 
0, 0.000136, 0.001825, 0.292028, 0.030147, 
0, 8.3e-05, 0.00142, 0.251555, 0.022228, 
0, 5.5e-05, 0.001566, 0.270886, 0.019279, 
0, 7.8e-05, 0.001155, 0.205019, 0.087482, 
0, 6.6e-05, 0.000918, 0.227212, 0.015659, 
0, 5.7e-05, 0.001081, 0.207527, 0.022911, 
4.43567, 0.000126, 0.00169, 0.219223, 0.03241, 
0, 0.000113, 0.001519, 0.299172, 0.069071, 
0, 8.2e-05, 0.001506, 0.306148, 0.026, 
0, 7e-05, 0.0016, 0.254906, 0.131499, 
0, 0.000281, 0.001796, 0.307498, 0.022619, 
0, 5.9e-05, 0.001271, 0.207739, 0.015737, 
3.60326, 0.000148, 0.001432, 0.226311, 0.034212, 
0, 0.000119, 0.001396, 0.190551, 0.024023, 
0, 0.000126, 0.001637, 0.282337, 0.030411, 
0, 6.9e-05, 0.001072, 0.161167, 0.016805, 
0, 0.000221, 0.004358, 0.680781, 0.135531, 
0, 9e-05, 0.002706, 0.489302, 0.045151, 
0, 0.00017, 0.00227, 0.369127, 0.048454, 
0, 0.000136, 0.001473, 0.212722, 0.020244, 
0, 7.7e-05, 0.001227, 0.208946, 0.066676, 
0, 5.6e-05, 0.001183, 0.201612, 0.038933, 
0, 9.4e-05, 0.001632, 0.285011, 0.110544, 
0, 5.4e-05, 0.001237, 0.195688, 0.018033, 
0, 8.6e-05, 0.001549, 0.282598, 0.07163, 
4.16568, 6.2e-05, 0.001493, 0.295966, 0.027251, 
0, 0.000141, 0.002041, 0.296886, 0.058302, 
0, 0.000158, 0.001733, 0.294397, 0.046872, 
0, 0.000108, 0.001656, 0.304755, 0.054663, 
0, 7.3e-05, 0.00155, 0.291284, 0.020495, 
0, 0.000131, 0.002, 0.325478, 0.032237, 
0, 0.00011, 0.002038, 0.315759, 0.022242, 
0, 0.000128, 0.001551, 0.291663, 0.021472, 
0, 6.5e-05, 0.001653, 0.257123, 0.157363, 
3.49143, 0.000243, 0.006073, 0.2933, 0.020362, 
0, 6.6e-05, 0.001523, 0.375769, 0.022366, 
0, 6.6e-05, 0.001586, 0.294251, 0.024499, 
0, 0.000302, 0.004625, 0.901875, 0.179004, 
0, 0.000336, 0.004937, 1.00455, 0.113182, 
0, 0.000147, 0.00268, 0.473001, 0.182513, 
0, 0.000105, 0.002527, 0.35806, 0.03396, 
0, 8.4e-05, 0.001463, 0.262404, 0.030316, 
0, 5.7e-05, 0.001242, 0.20335, 0.040055, 
0, 0.000123, 0.001207, 0.235785, 0.048689, 
0, 0.000112, 0.001589, 0.287827, 0.02352, 
0, 5.2e-05, 0.001162, 0.191459, 0.017752, 
0, 5.4e-05, 0.001358, 0.277369, 0.270553, 
3.23733, 5.3e-05, 0.001303, 0.245096, 0.015054, 
0, 0.000126, 0.002181, 0.314075, 0.256828, 
0, 5.2e-05, 0.001818, 0.272429, 0.020151, 
0, 0.000131, 0.001395, 0.211421, 0.031631, 
0, 0.000146, 0.001833, 0.318316, 0.043749, 
0, 0.000122, 0.001914, 0.304861, 0.062781, 
0, 6.7e-05, 0.001569, 0.243931, 0.103382, 
0, 6.5e-05, 0.00127, 0.220385, 0.072961, 
0, 8.9e-05, 0.001725, 0.295573, 0.020916, 
4.19429, 0.000173, 0.002168, 0.295545, 0.033177, 
0, 0.000125, 0.001461, 0.228663, 0.021905, 
0, 0.00013, 0.001128, 0.218054, 0.035404, 
0, 8.5e-05, 0.001777, 0.287992, 0.169422, 
0, 6.3e-05, 0.001343, 0.223938, 0.027384, 
0, 0.000126, 0.001239, 0.206815, 0.017135, 
0, 6.7e-05, 0.001371, 0.228875, 0.037443, 
0, 0.000259, 0.005098, 0.329072, 0.016513, 
0, 6.1e-05, 0.001722, 0.291655, 0.020081, 
0, 5.4e-05, 0.001097, 0.199688, 0.055095, 
3.31537, 7.9e-05, 0.001465, 0.361202, 0.020418, 
0, 0.000123, 0.001638, 0.273471, 0.033695, 
0, 0.000101, 0.001853, 0.303157, 0.075902, 
0, 0.000133, 0.001829, 0.228303, 0.025223, 
0, 0.000154, 0.001347, 0.240853, 0.024998, 
